1,23,pellets,11:33 PM
2,2,live worms,3:23 PM
3,24,pellets,9:16 PM
4,35,flakes,7:23 PM
5,15,bloodworms,5:03 AM
6,41,tubifex worms,11:28 AM
7,41,freeze-dried,5:25 AM
8,14,flakes,1:20 AM
9,27,tubifex worms,6:22 AM
10,32,krill,6:06 PM
11,3,live worms,11:42 AM
12,8,flakes,10:42 AM
13,30,flakes,12:22 AM
14,13,brine shrimp,3:39 PM
15,39,bloodworms,8:46 AM
16,41,live worms,4:57 PM
17,21,tubifex worms,11:01 PM
18,26,mosquito larvae,3:22 AM
19,5,mosquito larvae,12:56 AM
20,7,pellets,5:24 PM
21,41,pellets,2:04 PM
22,37,bloodworms,8:21 PM
23,45,krill,1:29 AM
24,8,brine shrimp,4:18 AM
25,13,mosquito larvae,3:45 PM
26,31,krill,7:07 AM
27,33,brine shrimp,6:04 AM
28,26,brine shrimp,5:12 PM
29,43,freeze-dried,10:21 PM
30,27,tubifex worms,1:56 PM
31,28,pellets,12:06 PM
32,41,flakes,4:05 PM
33,40,bloodworms,1:45 PM
34,9,bloodworms,6:31 PM
35,39,mosquito larvae,2:29 AM
36,29,tubifex worms,7:01 PM
37,25,krill,7:51 PM
38,37,pellets,3:11 AM
39,43,brine shrimp,5:59 AM
40,14,vegetables,11:21 AM
41,6,mosquito larvae,3:25 PM
42,9,vegetables,5:29 AM
43,15,tubifex worms,1:29 AM
44,13,tubifex worms,11:45 PM
45,45,krill,10:40 AM
46,47,pellets,10:03 PM
47,29,mosquito larvae,3:47 PM
48,30,brine shrimp,2:37 AM
49,6,mosquito larvae,3:41 PM
50,28,mosquito larvae,12:47 AM
51,31,mosquito larvae,10:57 PM
52,33,tubifex worms,12:06 AM
53,38,pellets,1:00 PM
54,27,brine shrimp,2:12 PM
55,48,live worms,10:30 PM
56,37,vegetables,11:09 PM
57,17,mosquito larvae,10:32 PM
58,25,tubifex worms,10:57 AM
59,18,live worms,8:41 PM
60,40,pellets,5:58 AM
61,15,flakes,6:34 AM
62,29,bloodworms,8:21 AM
63,21,pellets,8:27 AM
64,8,freeze-dried,8:08 PM
65,18,flakes,3:29 PM
66,42,krill,5:00 PM
67,34,bloodworms,5:34 PM
68,50,tubifex worms,2:55 PM
69,22,tubifex worms,4:56 AM
70,45,brine shrimp,2:51 PM
71,40,mosquito larvae,2:13 PM
72,31,tubifex worms,1:33 AM
73,31,freeze-dried,2:27 PM
74,16,live worms,10:04 AM
75,3,live worms,8:36 AM
76,30,tubifex worms,7:54 AM
77,31,bloodworms,6:11 PM
78,50,live worms,11:30 PM
79,35,bloodworms,6:17 AM
80,17,brine shrimp,9:20 AM
81,44,vegetables,11:54 AM
82,28,brine shrimp,5:01 PM
83,43,bloodworms,8:23 PM
84,32,bloodworms,2:10 AM
85,13,brine shrimp,2:25 PM
86,15,pellets,1:15 AM
87,2,live worms,11:34 AM
88,22,flakes,8:35 PM
89,36,krill,9:20 AM
90,26,mosquito larvae,3:11 PM
91,47,mosquito larvae,3:41 PM
92,8,vegetables,1:14 AM
93,7,tubifex worms,11:43 AM
94,11,brine shrimp,10:00 PM
95,4,vegetables,11:14 AM
96,21,krill,4:26 PM
97,32,vegetables,10:32 PM
98,29,krill,9:28 PM
99,42,vegetables,12:23 AM
100,19,mosquito larvae,7:34 PM
